Date,Open,High,Low,Close,Volume,GDP,PAYEMS,DTB1YR,DTB6,DTB3,DGS3MO,DGS1MO,CPIAUCSL,BOGMBASE,TEDRATE
2014-06-26,313.1199951171875,313.1199951171875,309.9200134277344,311.760009765625,251950,17149.6,138463.0,0.11,0.05,0.03,0.03,0.01,237.083,3911514.0,0.21
2014-06-27,312.79998779296875,313.1199951171875,310.79998779296875,311.8399963378906,203425,17149.6,138463.0,0.11,0.06,0.04,0.04,0.01,237.083,3911514.0,0.21
2014-06-30,311.5199890136719,311.760009765625,308.7200012207031,311.0400085449219,228688,17149.6,138463.0,0.1,0.06,0.03,0.03,0.02,237.083,3911514.0,0.2
2014-07-01,312.1600036621094,312.9599914550781,308.5599975585937,310.8800048828125,296713,17149.6,138463.0,0.11,0.07,0.04,0.04,0.02,237.083,3911514.0,0.2
2014-07-02,309.1199951171875,311.2799987792969,307.1199951171875,307.20001220703125,331925,17149.6,138463.0,0.1,0.06,0.02,0.02,0.03,237.083,3911514.0,0.2
2014-07-03,307.1199951171875,307.20001220703125,305.9200134277344,306.0,180938,17149.6,138780.0,0.11,0.06,0.02,0.02,0.02,237.083,3911514.0,0.19
2014-07-07,306.1600036621094,306.32000732421875,304.3999938964844,305.3599853515625,178550,17149.6,138780.0,0.1,0.06,0.01,0.01,0.01,237.083,3911514.0,0.19
2014-07-08,306.0799865722656,307.3599853515625,303.8399963378906,305.44000244140625,302263,17149.6,138780.0,0.11,0.06,0.04,0.04,0.02,237.083,3911514.0,0.21
2014-07-09,303.1199951171875,303.2799987792969,300.9599914550781,301.5199890136719,729763,17149.6,138780.0,0.1,0.06,0.03,0.03,0.02,237.083,3911514.0,0.21
2014-07-10,301.0400085449219,303.9200134277344,300.7200012207031,303.20001220703125,459038,17149.6,138780.0,0.1,0.06,0.03,0.03,0.03,237.083,3948675.0,0.22
2014-07-11,300.5599975585937,301.20001220703125,296.32000732421875,297.2799987792969,618388,17149.6,138780.0,0.09,0.06,0.02,0.02,0.02,237.083,3948675.0,0.22
2014-07-14,296.4800109863281,298.79998779296875,295.67999267578125,298.5599975585937,772763,17149.6,138780.0,0.1,0.07,0.02,0.02,0.02,237.083,3948675.0,0.19
2014-07-15,294.7200012207031,295.5199890136719,292.6400146484375,295.0400085449219,553375,17149.6,138780.0,0.1,0.06,0.03,0.03,0.02,237.083,3948675.0,0.2
2014-07-16,296.6400146484375,299.1199951171875,296.5599975585937,298.4800109863281,522988,17149.6,138780.0,0.1,0.06,0.02,0.02,0.02,237.083,3948675.0,0.2
2014-07-17,302.7200012207031,303.2799987792969,299.8399963378906,302.6400146484375,809575,17149.6,138780.0,0.1,0.06,0.02,0.02,0.02,237.083,3948675.0,0.21
2014-07-18,302.32000732421875,303.20001220703125,301.3599853515625,301.760009765625,421050,17149.6,138780.0,0.09,0.06,0.02,0.02,0.02,237.083,3948675.0,0.21
2014-07-21,302.7200012207031,305.2799987792969,302.1600036621094,304.79998779296875,433575,17149.6,138780.0,0.08,0.05,0.02,0.02,0.03,237.083,3948675.0,0.2
2014-07-22,304.5599975585937,304.5599975585937,302.8800048828125,303.6000061035156,185738,17149.6,138780.0,0.09,0.06,0.03,0.03,0.02,237.693,3948675.0,0.21
2014-07-23,304.3999938964844,306.3999938964844,303.9200134277344,305.2799987792969,282188,17149.6,138780.0,0.11,0.07,0.03,0.03,0.03,237.693,3948675.0,0.21
2014-07-24,305.44000244140625,305.67999267578125,302.0799865722656,302.5599975585937,343313,17149.6,138780.0,0.11,0.05,0.03,0.03,0.03,237.693,3948675.0,0.21
2014-07-25,300.0799865722656,304.0,299.3599853515625,302.1600036621094,340963,17149.6,138780.0,0.11,0.06,0.03,0.03,0.04,237.693,3948675.0,0.21
2014-07-28,300.1600036621094,302.4800109863281,299.1199951171875,301.1199951171875,273688,17149.6,138780.0,0.11,0.06,0.03,0.03,0.03,237.693,3948675.0,0.2
2014-07-29,298.239990234375,300.1600036621094,297.6000061035156,299.1199951171875,338650,17149.6,138780.0,0.11,0.06,0.04,0.04,0.03,237.693,3948675.0,0.2
2014-07-30,300.7200012207031,301.44000244140625,294.79998779296875,295.3599853515625,625688,17294.7,138780.0,0.11,0.06,0.02,0.02,0.03,237.693,3948675.0,0.2
2014-07-31,295.1199951171875,295.6000061035156,290.1600036621094,290.5599975585937,597313,17294.7,138780.0,0.12,0.06,0.04,0.04,0.03,237.693,3948675.0,0.21
2014-08-01,288.9599914550781,290.3999938964844,287.8399963378906,289.5199890136719,535513,17294.7,139004.0,0.11,0.05,0.03,0.03,0.01,237.693,3948675.0,0.2
2014-08-04,289.6000061035156,292.4800109863281,289.5199890136719,291.8399963378906,302700,17294.7,139004.0,0.12,0.05,0.03,0.03,0.01,237.693,3948675.0,0.2
2014-08-05,290.6400146484375,290.79998779296875,287.6000061035156,289.2799987792969,411213,17294.7,139004.0,0.11,0.06,0.04,0.04,0.02,237.693,3948675.0,0.22
2014-08-06,289.9200134277344,290.79998779296875,286.6400146484375,287.6000061035156,646963,17294.7,139004.0,0.11,0.05,0.03,0.03,0.03,237.693,3948675.0,0.2
2014-08-07,287.760009765625,289.67999267578125,286.5599975585937,289.2799987792969,294588,17294.7,139004.0,0.1,0.05,0.03,0.03,0.03,237.693,3989063.0,0.21
2014-08-08,289.760009765625,290.0799865722656,287.8399963378906,288.9599914550781,281738,17294.7,139004.0,0.1,0.04,0.03,0.03,0.03,237.693,3989063.0,0.21
2014-08-11,289.8399963378906,291.67999267578125,289.5199890136719,289.760009765625,235775,17294.7,139004.0,0.09,0.05,0.03,0.03,0.03,237.693,3989063.0,0.2
2014-08-12,287.67999267578125,289.0400085449219,286.4800109863281,287.9200134277344,360688,17294.7,139004.0,0.09,0.05,0.04,0.04,0.03,237.693,3989063.0,0.21
2014-08-13,288.32000732421875,289.3599853515625,286.239990234375,288.1600036621094,305463,17294.7,139004.0,0.09,0.05,0.03,0.03,0.05,237.693,3989063.0,0.2
2014-08-14,286.7200012207031,286.8800048828125,280.32000732421875,280.8800048828125,987650,17294.7,139004.0,0.09,0.06,0.04,0.04,0.04,237.693,3989063.0,0.2
2014-08-15,281.3599853515625,284.8800048828125,281.0400085449219,283.5199890136719,665200,17294.7,139004.0,0.09,0.06,0.04,0.04,0.04,237.693,3989063.0,0.21
2014-08-18,280.8800048828125,281.1199951171875,279.0400085449219,280.4800109863281,347263,17294.7,139004.0,0.08,0.05,0.03,0.03,0.03,237.693,3989063.0,0.19
2014-08-19,280.1600036621094,280.4800109863281,276.6400146484375,277.67999267578125,503563,17294.7,139004.0,0.09,0.05,0.03,0.03,0.02,237.909,3989063.0,0.2
2014-08-20,279.0400085449219,279.44000244140625,277.5199890136719,278.8800048828125,397350,17294.7,139004.0,0.11,0.05,0.03,0.03,0.04,237.909,3989063.0,0.19
2014-08-21,279.20001220703125,282.0799865722656,278.9599914550781,280.7200012207031,486013,17294.7,139004.0,0.12,0.06,0.04,0.04,0.04,237.909,3989063.0,0.19
2014-08-22,278.6400146484375,280.239990234375,277.6000061035156,279.67999267578125,488300,17294.7,139004.0,0.1,0.06,0.02,0.02,0.03,237.909,3989063.0,0.2
