Date,Close,Label,Open,High,Low,Volume,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-07-10,29.030000686645508,0,28.479999542236328,29.170000076293945,28.40999984741211,5432400,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,2,0.0,0.0,60665.77834129334,71745.19980239868,0.015275024013633454
2020-07-13,28.5,1,29.01000022888184,29.14999961853028,28.38999938964844,6540200,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,3,0.0,0.0,60665.77834129334,70822.46860694885,-0.012861225531341836
2020-07-14,28.8799991607666,0,28.229999542236328,29.07999992370605,28.15999984741211,5057500,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,4,0.0,0.0,60665.77834129334,71484.0471458435,0.009341365133235913
2020-07-15,29.290000915527344,0,29.07999992370605,29.5,28.809999465942383,7041200,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,5,0.0,0.0,60665.77834129334,72197.86020088196,0.00998562733279651
2020-07-16,29.15999984741211,0,29.18000030517578,29.43000030517578,29.030000686645508,3240400,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,6,0.0,0.0,60665.77834129334,71971.52834129333,-0.0031348832078801347
2020-07-17,29.100000381469727,1,29.170000076293945,29.239999771118164,28.71999931335449,3570200,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,7,0.0,0.0,60665.77834129334,71867.06927108765,-0.0014513943584792965
2020-07-20,29.1200008392334,1,28.89999961853028,29.25,28.59000015258789,3863800,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,8,0.0,0.0,60665.77834129334,71901.8900680542,0.00048451672399774104
2020-07-21,29.71999931335449,0,29.979999542236328,30.21999931335449,29.63999938964844,8346300,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,9,0.0,0.0,60665.77834129334,72946.48741149902,0.014528092967460715
2020-07-22,29.75,0,29.440000534057617,29.88999938964844,29.36000061035156,3925800,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,10,0.0,0.0,60665.77834129334,72998.71860694885,0.0007160207064556001
2020-07-23,29.40999984741211,0,29.59000015258789,29.93000030517578,29.1200008392334,5925100,0,0,0,0,1741.0,28.40999984741211,49461.80973434448,11,0.0,0.0,60665.77834129334,72406.77834129333,-0.00810891310082762
